Year,Quarter,Type of application,Category of leave,Industry,Applications
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","5,238"
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,335
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,65
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",11
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,65
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Manufacturing,174
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",17
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Construction,53
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,91
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,29
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,420
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Information and Communications,979
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,307
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Real estate activities,4
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",610
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,80
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,109
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Education,552
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"1,399"
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",79
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,103
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,1
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,1
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",2
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,1
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Education,20
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,6
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",26
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,12
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,4
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",49
2010,2010 Q2,Visa,Worker (Previously Tier 2),Mining and Quarrying,144
2010,2010 Q2,Visa,Worker (Previously Tier 2),Manufacturing,520
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",56
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2010,2010 Q2,Visa,Worker (Previously Tier 2),Construction,95
2010,2010 Q2,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,139
2010,2010 Q2,Visa,Worker (Previously Tier 2),Transportation and Storage,85
2010,2010 Q2,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,624
2010,2010 Q2,Visa,Worker (Previously Tier 2),Information and Communications,"4,688"
2010,2010 Q2,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,585"
2010,2010 Q2,Visa,Worker (Previously Tier 2),Real estate activities,16
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,684"
2010,2010 Q2,Visa,Worker (Previously Tier 2),Administrative and support service activities,117
2010,2010 Q2,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,30
2010,2010 Q2,Visa,Worker (Previously Tier 2),Education,425
2010,2010 Q2,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,820
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",163
2010,2010 Q2,Visa,Worker (Previously Tier 2),Other Service Activities,84
2010,2010 Q2,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,3
2010,2010 Q2,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,1
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",11
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Manufacturing,8
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Electricity, gas, steam and air conditioning supply",1
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Construction,56
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,55
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Transportation and Storage,5
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,101
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Information and Communications,192
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,2
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Real estate activities,2
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",200
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,165
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,18
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Education,"1,075"
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,225
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","8,578"
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,538
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,2
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,79
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",11
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,64
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Manufacturing,211
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",27
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",4
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Construction,61
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,100
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,30
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,551
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Information and Communications,"1,047"
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,424
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Real estate activities,12
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",486
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,77
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,96
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Education,492
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"1,599"
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",126
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,100
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,5
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,1
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Information and Communications,2
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",1
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,1
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Education,23
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,5
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",29
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,9
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,4
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",34
2010,2010 Q3,Visa,Worker (Previously Tier 2),Mining and Quarrying,226
2010,2010 Q3,Visa,Worker (Previously Tier 2),Manufacturing,562
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",43
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",3
2010,2010 Q3,Visa,Worker (Previously Tier 2),Construction,61
2010,2010 Q3,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,152
2010,2010 Q3,Visa,Worker (Previously Tier 2),Transportation and Storage,70
2010,2010 Q3,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,777
2010,2010 Q3,Visa,Worker (Previously Tier 2),Information and Communications,"4,634"
2010,2010 Q3,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,760"
2010,2010 Q3,Visa,Worker (Previously Tier 2),Real estate activities,7
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,847"
2010,2010 Q3,Visa,Worker (Previously Tier 2),Administrative and support service activities,133
2010,2010 Q3,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,69
2010,2010 Q3,Visa,Worker (Previously Tier 2),Education,515
2010,2010 Q3,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,799
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",198
2010,2010 Q3,Visa,Worker (Previously Tier 2),Other Service Activities,87
2010,2010 Q3,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,4
2010,2010 Q3,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,4
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",4
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Manufacturing,1
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Construction,24
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,42
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Transportation and Storage,1
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,85
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Information and Communications,123
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,4
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",171
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,330
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,44
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Education,"1,206"
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,361
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","6,878"
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,548
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,10
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,40
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",8
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,63
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Manufacturing,166
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",32
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Construction,65
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,87
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,26
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,539
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Information and Communications,"1,067"
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,513
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Real estate activities,5
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",670
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,69
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,133
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Education,758
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"1,762"
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",85
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,89
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,1
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,1
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,1
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",2
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,2
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,1
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Education,19
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,2
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",28
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,20
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,5
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",22
2010,2010 Q4,Visa,Worker (Previously Tier 2),Mining and Quarrying,144
2010,2010 Q4,Visa,Worker (Previously Tier 2),Manufacturing,414
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",10
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",2
2010,2010 Q4,Visa,Worker (Previously Tier 2),Construction,61
2010,2010 Q4,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,118
2010,2010 Q4,Visa,Worker (Previously Tier 2),Transportation and Storage,54
2010,2010 Q4,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,318
2010,2010 Q4,Visa,Worker (Previously Tier 2),Information and Communications,"3,582"
2010,2010 Q4,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,013"
2010,2010 Q4,Visa,Worker (Previously Tier 2),Real estate activities,8
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,589"
2010,2010 Q4,Visa,Worker (Previously Tier 2),Administrative and support service activities,57
2010,2010 Q4,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,23
2010,2010 Q4,Visa,Worker (Previously Tier 2),Education,293
2010,2010 Q4,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,421
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",106
2010,2010 Q4,Visa,Worker (Previously Tier 2),Other Service Activities,93
2010,2010 Q4,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,2
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",3
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Manufacturing,8
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Construction,10
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,36
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,66
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Information and Communications,266
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,6
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",72
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,160
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,12
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Education,712
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,219
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","6,400"
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,328
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,3
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,32
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",3
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,54
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Manufacturing,131
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",18
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Construction,31
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,41
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,18
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,305
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Information and Communications,892
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,225
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Real estate activities,3
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",453
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,41
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,88
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Education,538
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,873
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",66
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,77
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,2
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,2
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",7
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,8
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Education,20
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,1
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",27
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,19
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,1
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",13
2011,2011 Q1,Visa,Worker (Previously Tier 2),Mining and Quarrying,210
2011,2011 Q1,Visa,Worker (Previously Tier 2),Manufacturing,609
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",16
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2011,2011 Q1,Visa,Worker (Previously Tier 2),Construction,77
2011,2011 Q1,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,167
2011,2011 Q1,Visa,Worker (Previously Tier 2),Transportation and Storage,83
2011,2011 Q1,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,364
2011,2011 Q1,Visa,Worker (Previously Tier 2),Information and Communications,"4,281"
2011,2011 Q1,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,240"
2011,2011 Q1,Visa,Worker (Previously Tier 2),Real estate activities,5
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,652"
2011,2011 Q1,Visa,Worker (Previously Tier 2),Administrative and support service activities,81
2011,2011 Q1,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,35
2011,2011 Q1,Visa,Worker (Previously Tier 2),Education,234
2011,2011 Q1,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,361
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",145
2011,2011 Q1,Visa,Worker (Previously Tier 2),Other Service Activities,82
2011,2011 Q1,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,5
2011,2011 Q1,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,3
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",10
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Manufacturing,23
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,31
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,73
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Information and Communications,187
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,6
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Real estate activities,4
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",100
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,337
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,13
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Education,584
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,282
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","6,304"
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,386
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,5
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,50
2011,2011 Q1,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,61
2011,2011 Q1,Extensions of stay,Worker (Previously Tier 2),Manufacturing,151
2011,2011 Q1,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",8
2011,2011 Q1,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",1
