Year,Quarter,Type of application,Institution type group,Institution type,Applications
2018,2018 Q2,Visa,All other institutions,English language school,248
2018,2018 Q2,Visa,All other institutions,Independent school,"1,709"
2018,2018 Q2,Visa,All other institutions,Other,612
2018,2018 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,684
2018,2018 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,"1,115"
2018,2018 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",55
2018,2018 Q2,Extensions of stay,All other institutions,English language school,1
2018,2018 Q2,Extensions of stay,All other institutions,Independent school,52
2018,2018 Q2,Extensions of stay,All other institutions,Other,88
2018,2018 Q3,Visa,Higher Education institution,Russell Group Universities,"74,634"
2018,2018 Q3,Visa,Higher Education institution,Non Russell Group Universities,"68,734"
2018,2018 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges","8,512"
2018,2018 Q3,Visa,All other institutions,English language school,"3,028"
2018,2018 Q3,Visa,All other institutions,Independent school,"9,572"
2018,2018 Q3,Visa,All other institutions,Other,950
2018,2018 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,"3,159"
2018,2018 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,"3,002"
2018,2018 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",181
2018,2018 Q3,Extensions of stay,All other institutions,English language school,24
2018,2018 Q3,Extensions of stay,All other institutions,Independent school,195
2018,2018 Q3,Extensions of stay,All other institutions,Other,15
2018,2018 Q4,Visa,Higher Education institution,Russell Group Universities,"2,797"
2018,2018 Q4,Visa,Higher Education institution,Non Russell Group Universities,"8,459"
2018,2018 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges","3,153"
2018,2018 Q4,Visa,All other institutions,English language school,869
2018,2018 Q4,Visa,All other institutions,Independent school,"1,187"
2018,2018 Q4,Visa,All other institutions,Other,424
2018,2018 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,"15,402"
2018,2018 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,"11,181"
2018,2018 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",241
2018,2018 Q4,Extensions of stay,All other institutions,English language school,20
2018,2018 Q4,Extensions of stay,All other institutions,Independent school,538
2018,2018 Q4,Extensions of stay,All other institutions,Other,23
2019,2019 Q1,Visa,Higher Education institution,Russell Group Universities,"1,867"
2019,2019 Q1,Visa,Higher Education institution,Non Russell Group Universities,"8,236"
2019,2019 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges","1,719"
2019,2019 Q1,Visa,All other institutions,English language school,371
2019,2019 Q1,Visa,All other institutions,Independent school,652
2019,2019 Q1,Visa,All other institutions,Other,260
2019,2019 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,"1,406"
2019,2019 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,"2,426"
2019,2019 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",221
2019,2019 Q1,Extensions of stay,All other institutions,English language school,21
2019,2019 Q1,Extensions of stay,All other institutions,Independent school,70
2019,2019 Q1,Extensions of stay,All other institutions,Other,12
2019,2019 Q2,Visa,Higher Education institution,Russell Group Universities,"21,524"
2019,2019 Q2,Visa,Higher Education institution,Non Russell Group Universities,"15,670"
2019,2019 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges","1,399"
2019,2019 Q2,Visa,All other institutions,English language school,394
2019,2019 Q2,Visa,All other institutions,Independent school,"1,684"
2019,2019 Q2,Visa,All other institutions,Other,586
2019,2019 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,617
2019,2019 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,"1,037"
2019,2019 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",94
2019,2019 Q2,Extensions of stay,All other institutions,English language school,18
2019,2019 Q2,Extensions of stay,All other institutions,Independent school,76
2019,2019 Q2,Extensions of stay,All other institutions,Other,8
2019,2019 Q3,Visa,Higher Education institution,Russell Group Universities,"82,925"
2019,2019 Q3,Visa,Higher Education institution,Non Russell Group Universities,"80,569"
2019,2019 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges","6,952"
2019,2019 Q3,Visa,All other institutions,English language school,"5,946"
2019,2019 Q3,Visa,All other institutions,Independent school,"10,127"
2019,2019 Q3,Visa,All other institutions,Other,"1,017"
2019,2019 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,"3,547"
2019,2019 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,"2,639"
2019,2019 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",143
2019,2019 Q3,Extensions of stay,All other institutions,English language school,69
2019,2019 Q3,Extensions of stay,All other institutions,Independent school,211
2019,2019 Q3,Extensions of stay,All other institutions,Other,22
2019,2019 Q4,Unknown,All other institutions,English language school,"2,212"
2019,2019 Q4,Unknown,All other institutions,Independent School,"1,540"
2019,2019 Q4,Unknown,All other institutions,Other,461
2019,2019 Q4,Unknown,All other institutions,"Tertiary, Further education or other colleges","2,312"
2019,2019 Q4,Unknown,Higher Education institution,Non Russell Group Universities,"23,043"
2019,2019 Q4,Unknown,Higher Education institution,Russell Group Universities,"19,649"
2019,2019 Q4,Unknown,All other institutions,English language school,246
2019,2019 Q4,Unknown,All other institutions,Independent School,165
2019,2019 Q4,Unknown,All other institutions,Other,74
2019,2019 Q4,Unknown,All other institutions,"Tertiary, Further education or other colleges",355
2019,2019 Q4,Unknown,Higher Education institution,Non Russell Group Universities,"3,163"
2019,2019 Q4,Unknown,Higher Education institution,Russell Group Universities,640
2020,2020 Q1,Unknown,All other institutions,English language school,583
2020,2020 Q1,Unknown,All other institutions,Independent School,258
2020,2020 Q1,Unknown,All other institutions,Other,114
2020,2020 Q1,Unknown,All other institutions,"Tertiary, Further education or other colleges",582
2020,2020 Q1,Unknown,Higher Education institution,Non Russell Group Universities,"9,481"
2020,2020 Q1,Unknown,Higher Education institution,Russell Group Universities,"1,491"
2020,2020 Q1,Unknown,All other institutions,English language school,869
2020,2020 Q1,Unknown,All other institutions,Independent School,384
2020,2020 Q1,Unknown,All other institutions,Other,131
2020,2020 Q1,Unknown,All other institutions,"Tertiary, Further education or other colleges",648
2020,2020 Q1,Unknown,Higher Education institution,Non Russell Group Universities,"12,861"
2020,2020 Q1,Unknown,Higher Education institution,Russell Group Universities,"1,320"
2020,2020 Q1,Unknown,Higher Education institution,Non Russell Group Universities,1
2020,2020 Q2,Unknown,All other institutions,Independent School,1
2020,2020 Q2,Unknown,All other institutions,"Tertiary, Further education or other colleges",2
2020,2020 Q2,Unknown,Higher Education institution,Non Russell Group Universities,117
2020,2020 Q2,Unknown,Higher Education institution,Russell Group Universities,67
2020,2020 Q2,Unknown,All other institutions,Independent School,421
2020,2020 Q2,Unknown,All other institutions,Other,22
2020,2020 Q2,Unknown,All other institutions,"Tertiary, Further education or other colleges",7
2020,2020 Q2,Unknown,Higher Education institution,Non Russell Group Universities,204
2020,2020 Q2,Unknown,Higher Education institution,Russell Group Universities,108
2020,2020 Q3,Unknown,All other institutions,English language school,18
2020,2020 Q3,Unknown,All other institutions,Independent School,175
2020,2020 Q3,Unknown,All other institutions,Other,17
2020,2020 Q3,Unknown,All other institutions,"Tertiary, Further education or other colleges",86
2020,2020 Q3,Unknown,Higher Education institution,Non Russell Group Universities,"1,753"
2020,2020 Q3,Unknown,Higher Education institution,Russell Group Universities,"1,247"
2020,2020 Q3,Unknown,All other institutions,English language school,51
2020,2020 Q3,Unknown,All other institutions,Independent School,"3,008"
2020,2020 Q3,Unknown,All other institutions,Other,166
2020,2020 Q3,Unknown,All other institutions,"Tertiary, Further education or other colleges",148
2020,2020 Q3,Unknown,Higher Education institution,Non Russell Group Universities,"1,631"
2020,2020 Q3,Unknown,Higher Education institution,Russell Group Universities,"1,607"
2020,2020 Q3,Unknown,All other institutions,English language school,"1,245"
2020,2020 Q3,Unknown,All other institutions,Independent School,"3,374"
2020,2020 Q3,Unknown,All other institutions,Other,257
2020,2020 Q3,Unknown,All other institutions,"Tertiary, Further education or other colleges","1,805"
2020,2020 Q3,Unknown,Higher Education institution,Non Russell Group Universities,"43,676"
2020,2020 Q3,Unknown,Higher Education institution,Russell Group Universities,"53,855"
2020,2020 Q4,Extensions of stay,All other institutions,English language school,91
2020,2020 Q4,Extensions of stay,All other institutions,Independent School,753
2020,2020 Q4,Extensions of stay,All other institutions,Other,51
2020,2020 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",401
2020,2020 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,"9,150"
2020,2020 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,"7,898"
2020,2020 Q4,Unknown,Higher Education institution,Non Russell Group Universities,5
2020,2020 Q4,Unknown,Higher Education institution,Russell Group Universities,2
2020,2020 Q4,Visa,All other institutions,English language school,"1,452"
2020,2020 Q4,Visa,All other institutions,Independent School,"1,217"
2020,2020 Q4,Visa,All other institutions,Other,189
2020,2020 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges","2,039"
2020,2020 Q4,Visa,Higher Education institution,Non Russell Group Universities,"35,279"
2020,2020 Q4,Visa,Higher Education institution,Russell Group Universities,"30,486"
2021,2021 Q1,Extensions of stay,All other institutions,English language school,27
2021,2021 Q1,Extensions of stay,All other institutions,Independent School,339
2021,2021 Q1,Extensions of stay,All other institutions,Other,42
2021,2021 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",119
2021,2021 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,"3,989"
2021,2021 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,"1,728"
2021,2021 Q1,Unknown,Higher Education institution,Non Russell Group Universities,11
2021,2021 Q1,Visa,All other institutions,English language school,918
2021,2021 Q1,Visa,All other institutions,Independent School,"1,119"
2021,2021 Q1,Visa,All other institutions,Other,99
2021,2021 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges","1,055"
2021,2021 Q1,Visa,Higher Education institution,Non Russell Group Universities,"28,605"
2021,2021 Q1,Visa,Higher Education institution,Russell Group Universities,"4,904"
2021,2021 Q2,Extensions of stay,All other institutions,English language school,14
2021,2021 Q2,Extensions of stay,All other institutions,Independent School,180
2021,2021 Q2,Extensions of stay,All other institutions,Other,23
2021,2021 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",51
2021,2021 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,"2,367"
2021,2021 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,788
2021,2021 Q2,Unknown,Higher Education institution,Non Russell Group Universities,1
2021,2021 Q2,Visa,All other institutions,English language school,371
2021,2021 Q2,Visa,All other institutions,Independent School,"2,492"
2021,2021 Q2,Visa,All other institutions,Other,387
2021,2021 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges",882
2021,2021 Q2,Visa,Higher Education institution,Non Russell Group Universities,"10,639"
2021,2021 Q2,Visa,Higher Education institution,Russell Group Universities,"6,101"
2021,2021 Q3,Extensions of stay,All other institutions,English language school,15
2021,2021 Q3,Extensions of stay,All other institutions,Independent School,523
2021,2021 Q3,Extensions of stay,All other institutions,Other,69
2021,2021 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",262
2021,2021 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,"4,297"
2021,2021 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,"4,071"
2021,2021 Q3,Unknown,All other institutions,Independent School,1
2021,2021 Q3,Visa,All other institutions,English language school,"2,997"
2021,2021 Q3,Visa,All other institutions,Independent School,"8,929"
2021,2021 Q3,Visa,All other institutions,Other,"1,418"
2021,2021 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges","5,872"
2021,2021 Q3,Visa,Higher Education institution,Non Russell Group Universities,"104,653"
2021,2021 Q3,Visa,Higher Education institution,Russell Group Universities,"104,456"
2021,2021 Q4,Extensions of stay,All other institutions,English language school,44
2021,2021 Q4,Extensions of stay,All other institutions,Independent School,617
2021,2021 Q4,Extensions of stay,All other institutions,Other,45
2021,2021 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",266
2021,2021 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,"5,881"
2021,2021 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,"5,689"
2021,2021 Q4,Unknown,Higher Education institution,Non Russell Group Universities,1
2021,2021 Q4,Unknown,Higher Education institution,Russell Group Universities,2
2021,2021 Q4,Visa,All other institutions,English language school,"2,550"
2021,2021 Q4,Visa,All other institutions,Independent School,"1,370"
2021,2021 Q4,Visa,All other institutions,Other,460
2021,2021 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges","2,801"
2021,2021 Q4,Visa,Higher Education institution,Non Russell Group Universities,"41,213"
2021,2021 Q4,Visa,Higher Education institution,Russell Group Universities,"15,242"
2022,2022 Q1,Extensions of stay,All other institutions,English language school,101
2022,2022 Q1,Extensions of stay,All other institutions,Independent School,165
2022,2022 Q1,Extensions of stay,All other institutions,Other,52
2022,2022 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",197
2022,2022 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,"3,808"
2022,2022 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,"1,879"
2022,2022 Q1,Unknown,Higher Education institution,Non Russell Group Universities,1
2022,2022 Q1,Visa,All other institutions,English language school,"2,230"
2022,2022 Q1,Visa,All other institutions,Independent School,"1,016"
2022,2022 Q1,Visa,All other institutions,Other,268
2022,2022 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges","2,006"
2022,2022 Q1,Visa,All other institutions,Other,1
2022,2022 Q1,Visa,Higher Education institution,Non Russell Group Universities,"46,537"
2022,2022 Q1,Visa,Higher Education institution,Russell Group Universities,"6,174"
2022,2022 Q2,Extensions of stay,All other institutions,English language school,26
2022,2022 Q2,Extensions of stay,All other institutions,Independent School,181
2022,2022 Q2,Extensions of stay,All other institutions,Other,31
2022,2022 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",38
2022,2022 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,"1,568"
2022,2022 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,887
2022,2022 Q2,Unknown,All other institutions,English language school,1
2022,2022 Q2,Unknown,All other institutions,"Tertiary, Further education or other colleges",1
2022,2022 Q2,Unknown,Higher Education institution,Non Russell Group Universities,4
2022,2022 Q2,Unknown,Higher Education institution,Russell Group Universities,4
2022,2022 Q2,Visa,All other institutions,English language school,438
2022,2022 Q2,Visa,All other institutions,Independent School,"3,028"
2022,2022 Q2,Visa,All other institutions,Other,792
2022,2022 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges","1,727"
2022,2022 Q2,Visa,Higher Education institution,Non Russell Group Universities,"22,972"
2022,2022 Q2,Visa,Higher Education institution,Russell Group Universities,"8,702"
2022,2022 Q3,Extensions of stay,All other institutions,English language school,77
2022,2022 Q3,Extensions of stay,All other institutions,Independent School,836
2022,2022 Q3,Extensions of stay,All other institutions,Other,47
2022,2022 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",335
2022,2022 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,"4,530"
2022,2022 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,"7,763"
2022,2022 Q3,Unknown,All other institutions,English language school,1
2022,2022 Q3,Unknown,All other institutions,Independent School,1
2022,2022 Q3,Unknown,All other institutions,"Tertiary, Further education or other colleges",3
2022,2022 Q3,Unknown,Higher Education institution,Non Russell Group Universities,3
2022,2022 Q3,Unknown,Higher Education institution,Russell Group Universities,6
2022,2022 Q3,Visa,All other institutions,English language school,"4,854"
2022,2022 Q3,Visa,All other institutions,Independent School,"8,954"
2022,2022 Q3,Visa,All other institutions,Other,"1,744"
2022,2022 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges","9,591"
2022,2022 Q3,Visa,Higher Education institution,Non Russell Group Universities,"161,635"
2022,2022 Q3,Visa,Higher Education institution,Russell Group Universities,"116,355"
2022,2022 Q4,Extensions of stay,All other institutions,English language school,99
2022,2022 Q4,Extensions of stay,All other institutions,Independent School,945
2022,2022 Q4,Extensions of stay,All other institutions,Other,45
2022,2022 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",423
2022,2022 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,"7,833"
2022,2022 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,"11,613"
2022,2022 Q4,Unknown,All other institutions,"Tertiary, Further education or other colleges",1
2022,2022 Q4,Unknown,Higher Education institution,Non Russell Group Universities,6
2022,2022 Q4,Unknown,Higher Education institution,Russell Group Universities,3
2022,2022 Q4,Visa,All other institutions,English language school,"2,698"
2022,2022 Q4,Visa,All other institutions,Independent School,"1,395"
2022,2022 Q4,Visa,All other institutions,Other,490
2022,2022 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges","3,668"
2022,2022 Q4,Visa,Higher Education institution,Non Russell Group Universities,"68,469"
2022,2022 Q4,Visa,Higher Education institution,Russell Group Universities,"8,614"
2023,2023 Q1,Extensions of stay,All other institutions,English language school,31
2023,2023 Q1,Extensions of stay,All other institutions,Independent School,149
2023,2023 Q1,Extensions of stay,All other institutions,Other,14
2023,2023 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",75
2023,2023 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,"3,752"
2023,2023 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,"2,395"
2023,2023 Q1,Unknown,Higher Education institution,Non Russell Group Universities,11
2023,2023 Q1,Visa,All other institutions,English language school,"1,235"
2023,2023 Q1,Visa,All other institutions,Independent School,"1,088"
2023,2023 Q1,Visa,All other institutions,Other,426
2023,2023 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges","2,160"
2023,2023 Q1,Visa,Higher Education institution,Non Russell Group Universities,"42,827"
2023,2023 Q1,Visa,Higher Education institution,Russell Group Universities,"3,528"
End of table,,,,,
